Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2012-01-03,12.310343742370605,12.34836219930804,12.243588220886576,12.255562663916006,302220800
2012-01-04,12.37650203704834,12.413622814924555,12.251971011944331,12.273524212639375,260022000
2012-01-05,12.51390552520752,12.529471503086752,12.353451172629976,12.42170470424905,271269600
2012-01-06,12.644723892211914,12.655201131360059,12.549529457507239,12.565993918843496,318292800
2012-01-09,12.624664306640625,12.804875657853145,12.61328858699803,12.737521421532078,394024400
2012-01-10,12.669870376586914,12.752492450257316,12.617782339004574,12.749797800389446,258196400
2012-01-11,12.649213790893555,12.658194624091747,12.55222319043937,12.653105085598387,215084800
2012-01-12,12.614487648010254,12.659689972288241,12.535457921192904,12.641130384591305,212587200
2012-01-13,12.567188262939453,12.586347370433494,12.53276294070404,12.563896490381858,226021600
2012-01-17,12.71357536315918,12.752192546635523,12.661487329425261,12.698607307671816,242897200
2012-01-18,12.845590591430664,12.85636679183208,12.761472119459608,12.781229152997282,276791200
2012-01-19,12.804880142211914,12.913245680362445,12.767760159214117,12.87672521902299,261738400
2012-01-20,12.581856727600098,12.797391893694167,12.565392269052438,12.79709293231645,413974400
2012-01-23,12.79470157623291,12.8258351349334,12.641731630132496,12.65280759268138,306062400
2012-01-24,12.585149765014648,12.725547300054226,12.559405514011246,12.725547300054226,547638000
2012-01-25,13.370960235595703,13.60415659829873,13.283249408750311,13.603857636801544,958314000
2012-01-26,13.310188293457031,13.43471851295015,13.265584689064516,13.421847184827277,323985200
2012-01-27,13.389520645141602,13.425443187223326,13.284447669185878,13.301510057328347,299709200
2012-01-30,13.561047554016113,13.587690294032896,13.332939975958233,13.342518732442516,379341200
2012-01-31,13.664922714233398,13.717608671312185,13.562842573270341,13.638279974900431,391683600
2012-02-01,13.656241416931152,13.74006092833243,13.637083904769533,13.722698783454254,270046000
2012-02-02,13.624213218688965,13.68558025743494,13.590086846171793,13.647562589560007,186796400
2012-02-03,13.760720252990723,13.770299811084525,13.63738663998232,13.689474687755043,286599600
2012-02-06,13.889135360717773,13.919370425496812,13.716409239803685,13.721796939058411,249412800
2012-02-07,14.034628868103027,14.062170095897946,13.907402368543057,13.927459966727014,316223600
2012-02-08,14.26961898803711,14.272910761143113,14.060668933929048,14.084617822286473,407890000
2012-02-09,14.763253211975098,14.870422084594667,14.385767269075748,14.391754490902885,884214800
2012-02-10,14.770740509033203,14.896469001189228,14.624954419092386,14.697100060351302,631302000
2012-02-13,15.04554557800293,15.082365795282017,14.880600405090966,14.953642916794626,517216000
2012-02-14,15.250905990600586,15.253898803163027,15.027588136548973,15.107215815660894,460398400
2012-02-15,14.897961616516113,15.754711380102728,14.874610654674736,15.394589220679133,1506120000
2012-02-16,15.033869743347168,15.1140969197732,14.567475539218405,14.71326159778748,944552000
2012-02-17,15.031184196472168,15.200319715013,14.976701245299576,15.060819762829347,535805200
2012-02-21,15.412250518798828,15.412250518798828,15.091042928014797,15.173664973614772,605595200
2012-02-22,15.358068466186523,15.431409929216096,15.239224120960813,15.359265910454843,483302400
2012-02-23,15.458353996276855,15.501461996546537,15.252099385284707,15.41913888951914,568027600
2012-02-24,15.638568878173828,15.653237176301221,15.52571331053232,15.55654631300479,415072000
2012-02-27,15.738853454589844,15.820876018613598,15.455065455032441,15.605639729859714,547582000
2012-02-28,16.027734756469727,16.027734756469727,15.741551786050582,15.804715813034386,600387200
2012-02-29,16.238176345825195,16.392944087017568,16.036412493606857,16.211834159086358,952011200
2012-03-01,16.298938751220703,16.410898993925436,16.12830693525526,16.409699950901224,683270000
2012-03-02,16.32019805908203,16.368692167846692,16.240568791638978,16.29205891002435,431712400
2012-03-05,15.960376739501953,16.38905077365579,15.746037324338058,16.327384766437852,809124400
2012-03-06,15.873557090759277,15.97623514454736,15.453263722218825,15.675983571985608,810238800
2012-03-07,15.886436462402344,16.098678360684257,15.66521292861686,16.06934176198533,798520800
2012-03-08,16.22470474243164,16.25463925922006,15.92924127753625,16.006175095998774,516457200
2012-03-09,16.319894790649414,16.39682858836501,16.258227208685163,16.291156127507076,418919200
2012-03-12,16.524356842041016,16.524356842041016,16.374677877894154,16.433950581428984,407282400
2012-03-13,17.006311416625977,17.008706304949282,16.636608125653755,16.690194151568708,690855200
2012-03-14,17.649333953857422,17.803201613865237,17.224848565189298,17.30417888351821,1418844000
2012-03-15,17.52898597717285,17.961552742204614,17.31913905766476,17.94957829910269,1159718000
2012-03-16,17.529285430908203,17.637950707343137,17.30267428469267,17.50384013828295,825487600
2012-03-19,17.99418830871582,18.01424430811991,17.633466491135554,17.912464707477213,901236000
2012-03-20,18.13966941833496,18.16780696096876,17.70620417916519,17.946585124354574,816662000
2012-03-21,18.036094665527344,18.250133475244112,18.0034663010282,18.04327933258889,644042000
2012-03-22,17.941509246826172,18.095976472992366,17.82745459523671,17.894808886197925,623870800
2012-03-23,17.843017578125,18.015145884429586,17.79362337613378,17.975930763357518,430488800
2012-03-26,18.17020606994629,18.175296408386924,17.819364405016838,17.954969806044772,595742000
2012-03-27,18.394723892211914,18.448607301692995,18.14266739380827,18.14625972768864,607129600
2012-03-28,18.48871612548828,18.603368621144394,18.2698875729132,18.511465968801208,655460400
2012-03-29,18.25641441345215,18.456982314478505,18.17768525729223,18.3438262388598,608238400
2012-03-30,17.947790145874023,18.277378431426886,17.899593392697746,18.223793976051248,731038000
2012-04-02,18.51896095275879,18.52315121071675,17.97263828567528,18.016045265384005,598351600
2012-04-03,18.83896827697754,18.92548326820305,18.635108485956014,18.778498111069496,834559600
2012-04-04,18.688980102539062,18.735379862393714,18.470151589648424,18.690177546639642,572980800
2012-04-05,18.969480514526367,18.998817102320896,18.66174370537209,18.768912578735492,641298000
2012-04-09,19.04581642150879,19.15388378705914,18.71862311175423,18.743468885587266,597536800
2012-04-10,18.8126163482666,19.278410965330107,18.73957384854325,19.156573811998445,889725200
2012-04-11,18.74557113647461,19.0649819642432,18.659954626924673,19.044925961548596,696614800
2012-04-12,18.64287757873535,18.89912579637384,18.574923831358998,18.709633882121942,614336800
2012-04-13,18.117816925048828,18.700660607521172,18.066328413611444,18.68299790261028,859644800
2012-04-16,17.36642837524414,18.268979577322725,17.31015012033874,18.262394436366094,1050786800
2012-04-17,18.251632690429688,18.260612726276644,17.120373593876085,17.330820102453288,1025528000
2012-04-18,18.21091651916504,18.567447991985464,18.042379019211097,18.371968792645976,954531200
2012-04-19,17.585268020629883,18.102851843616914,17.497856166021858,17.967842766545832,834719200
2012-04-20,17.15239906311035,17.80020206636862,17.075764223620755,17.70321067297851,1030985200
2012-04-23,17.114086151123047,17.262866658980926,16.662660683351046,17.081457780951855,966529200
2012-04-24,16.772220611572266,16.994041998682253,16.61416114261742,16.84196975193965,1076149200
2012-04-25,18.260616302490234,18.500100492130787,18.140875007032392,18.429452840040184,905777600
2012-04-26,18.191757202148438,18.4010062102182,18.02501667003518,18.38843224491684,536068400
2012-04-27,18.051057815551758,18.14625383309604,17.976219948774272,18.113025954539648,406722400
2012-04-30,17.481693267822266,17.913363285499944,17.452356672285134,17.895401615153368,506144800
2012-05-01,17.42630386352539,17.864258226510266,17.399362172187796,17.5092248642735,610999200
2012-05-02,17.54155921936035,17.584067695133683,17.32841891767075,17.36972994907407,427389200
2012-05-03,17.41702651977539,17.703808823154336,17.371525236834692,17.67686712679382,390549600
2012-05-04,16.920997619628906,17.31345079968043,16.91860273100822,17.275134180473515,529992400
2012-05-07,17.047630310058594,17.14611813941194,16.800662533569298,16.80874568507262,460118400
2012-05-08,17.008708953857422,17.108093637304968,16.72581952118642,17.050617907318273,497252000
2012-05-09,17.03864860534668,17.182340371759366,16.789287539177508,16.874603476322036,480704000
2012-05-10,17.078758239746094,17.239212596125185,17.016494326753985,17.20029645146196,333200000
2012-05-11,16.96470832824707,17.197007793880292,16.894060692710763,16.913518768567574,399546000
2012-05-14,16.710554122924805,16.98865381842498,16.691994532206376,16.840773416851718,352626400
2012-05-15,16.55938148498535,16.86023264702507,16.516873000924846,16.807247721727645,476336000
2012-05-16,16.347139358520508,16.670741962753205,16.196264538392118,16.58572499601744,560896000
2012-05-17,15.86937427520752,16.38965209139664,15.86937427520752,16.32409318247079,717220000
2012-05-18,15.877152442932129,16.267210815918087,15.631682702884186,15.984321333029065,732292400
2012-05-21,16.802156448364258,16.809940637215888,15.987014864921845,16.00048731500455,631106000
2012-05-22,16.67313575744629,17.179343031966365,16.54171902075251,17.049721662668446,694870400
2012-05-23,17.079959869384766,17.147015168981714,16.56117858160585,16.689001397538778,584897600
2012-05-24,16.923097610473633,17.257776181320125,16.80066089874632,17.238916029222466,496230000
2012-05-25,16.8323917388916,16.938962705311337,16.718038182244875,16.90124400127982,328507200
2012-05-29,17.131147384643555,17.182936463126815,16.92279842230191,17.09013690612122,380508800
2012-05-30,17.337696075439453,17.36224288079822,16.960210205900797,17.039239919936232,529429600
2012-05-31,17.294591903686523,17.407447430541897,17.10689690829899,17.38469598910207,491674400
2012-06-01,16.79347801208496,17.142525955122036,16.77940923561126,17.038050901283427,520987600
2012-06-04,16.89225959777832,16.988352508928035,16.41958082842876,16.808740651726808,556995600
2012-06-05,16.848552703857422,16.957518535212138,16.71384421842727,16.80185397540484,388214400
2012-06-06,17.10689926147461,17.178443769655868,16.92848323572055,16.99643700927297,401455600
2012-06-07,17.114686965942383,17.28232444301316,17.078165698633526,17.281427558450027,379766800
2012-06-08,17.372127532958984,17.379911721933773,17.033258717293712,17.11109101469536,347516400
2012-06-11,17.098209381103516,17.616988732796344,17.082043089980303,17.59363937739143,591264800
